Film:År:Distributör
Reservoir Dogs:1992:Miramax
Pulp Fiction:1994:Miramax
Jackie Brown:1997:Miramax
"Kill Bill: Volume 1":2003:Miramax
"Kill Bill: Volume 2":2004:Miramax
Death Proof:2007:Dimension Films
Inglourious Basterds:2009:Universal Pictures
Django Unchained:2012:Sony Pictures Releasing
The Hateful Eight:2015:The Weinstein Company
Once Upon A Time in Hollywood:2019:Sony Pictures
